#total Xsec.: 2621.6(mb)
#total elastic Xsec.: 1504.3(mb)
#total reaction Xsec.: 1117.4(mb)

#th(deg)  diff. Xsec.(mb/sr)  analyzing power     Rutherford ratio
  95.0    0.16885143E+00     -0.30552389E+00      0.16309593E+00
  96.0    0.15137902E+00     -0.57187192E+00      0.15092958E+00
  97.0    0.13595359E+00     -0.79243306E+00      0.13983957E+00
  98.0    0.12314109E+00     -0.93190756E+00      0.13059823E+00
  99.0    0.11304361E+00     -0.96263408E+00      0.12355005E+00
 100.0    0.10539220E+00     -0.87546893E+00      0.11864220E+00
 101.0    0.99670991E-01     -0.68408979E+00      0.11550688E+00
 102.0    0.95248659E-01     -0.41959735E+00      0.11357535E+00
 103.0    0.91497364E-01     -0.11951261E+00      0.11220208E+00
 104.0    0.87885485E-01      0.18186510E+00      0.11077980E+00
 105.0    0.84036841E-01      0.45795611E+00      0.10883064E+00
 106.0    0.79755177E-01      0.68981369E+00      0.10606405E+00
 107.0    0.75017578E-01      0.86386057E+00      0.10239831E+00
 108.0    0.69943864E-01      0.96954306E+00      0.97947881E-01
 109.0    0.64750752E-01      0.99812954E+00      0.92983052E-01
 110.0    0.59699890E-01      0.94325939E+00      0.87871180E-01
 111.0    0.55047890E-01      0.80337597E+00      0.83009995E-01
 112.0    0.51004754E-01      0.58541931E+00      0.78763019E-01
 113.0    0.47704849E-01      0.30795205E+00      0.75405622E-01
 114.0    0.45192291E-01      0.99528624E-03      0.73087787E-01
 115.0    0.43420468E-01     -0.29920413E+00      0.71816811E-01
 116.0    0.42263739E-01     -0.55902688E+00      0.71460278E-01
 117.0    0.41538155E-01     -0.75550292E+00      0.71767066E-01
 118.0    0.41027451E-01     -0.87952579E+00      0.72402200E-01
 119.0    0.40510478E-01     -0.93381882E+00      0.72990069E-01
 120.0    0.39786628E-01     -0.92818015E+00      0.73160136E-01
 121.0    0.38696526E-01     -0.87482562E+00      0.72589520E-01
 122.0    0.37136201E-01     -0.78525769E+00      0.71037777E-01
 123.0    0.35063898E-01     -0.66875459E+00      0.68370547E-01
 124.0    0.32499640E-01     -0.53198509E+00      0.64570344E-01
 125.0    0.29518441E-01     -0.37923032E+00      0.59734324E-01
 126.0    0.26238586E-01     -0.21288873E+00      0.54060345E-01
 127.0    0.22806782E-01     -0.34163502E-01      0.47823746E-01
 128.0    0.19382021E-01      0.15595437E+00      0.41348015E-01
 129.0    0.16119930E-01      0.35505093E+00      0.34972848E-01
 130.0    0.13159059E-01      0.55635377E+00      0.29023016E-01
 131.0    0.10610206E-01      0.74372484E+00      0.23781010E-01
 132.0    0.85494063E-02      0.88493280E+00      0.19465764E-01
 133.0    0.70147920E-02      0.92856527E+00      0.16218877E-01
 134.0    0.60071049E-02      0.81928151E+00      0.14098873E-01
 135.0    0.54933425E-02      0.54181727E+00      0.13083168E-01
 136.0    0.54127837E-02      0.15769726E+00      0.13076724E-01
 137.0    0.56845246E-02     -0.22744302E+00      0.13925815E-01
 138.0    0.62156442E-02     -0.53668576E+00      0.15435047E-01
 139.0    0.69091900E-02     -0.74929965E+00      0.17385712E-01
 140.0    0.76713228E-02     -0.87950488E+00      0.19553674E-01
 141.0    0.84171427E-02     -0.95072051E+00      0.21725298E-01
 142.0    0.90749262E-02     -0.98323783E+00      0.23710363E-01
 143.0    0.95887062E-02     -0.99145789E+00      0.25351356E-01
 144.0    0.99192953E-02     -0.98471134E+00      0.26529005E-01
 145.0    0.10043987E-01     -0.96873615E+00      0.27164330E-01
 146.0    0.99552476E-02     -0.94690987E+00      0.27217747E-01
 147.0    0.96587423E-02     -0.92110750E+00      0.26685988E-01
 148.0    0.91710178E-02     -0.89226035E+00      0.25597581E-01
 149.0    0.85171136E-02     -0.86071098E+00      0.24007633E-01
 150.0    0.77282938E-02     -0.82643446E+00      0.21992448E-01
 151.0    0.68400081E-02     -0.78916971E+00      0.19644357E-01
 152.0    0.58901113E-02     -0.74848320E+00      0.17066907E-01
 153.0    0.49173086E-02     -0.70376997E+00      0.14370384E-01
 154.0    0.39597576E-02     -0.65417659E+00      0.11667537E-01
 155.0    0.30537495E-02     -0.59839591E+00      0.90693112E-02
 156.0    0.22324071E-02     -0.53420559E+00      0.66804516E-02
 157.0    0.15243767E-02     -0.45742951E+00      0.45949203E-02
 158.0    0.95253724E-03     -0.35956834E+00      0.28912332E-02
 159.0    0.53280190E-03     -0.22336011E+00      0.16279651E-02
 160.0    0.27312572E-03     -0.31167511E-01      0.83981434E-03
 161.0    0.17285543E-03      0.84114759E-01      0.53469810E-03
 162.0    0.22255628E-03     -0.87987842E-01      0.69236389E-03
 163.0    0.40442314E-03     -0.19520141E+00      0.12649224E-02
 164.0    0.69333242E-03     -0.19207643E+00      0.21795531E-02
 165.0    0.10585238E-02     -0.14788400E+00      0.33434109E-02
 166.0    0.14658248E-02     -0.89062239E-01      0.46505012E-02
 167.0    0.18802565E-02     -0.24340033E-01      0.59900309E-02
 168.0    0.22687990E-02      0.42923738E-01      0.72555152E-02
 169.0    0.26030560E-02      0.11098321E+00      0.83537654E-02
 170.0    0.28615487E-02      0.17841951E+00      0.92128264E-02
 171.0    0.30313906E-02      0.24354416E+00      0.97879858E-02
 172.0    0.31091536E-02      0.30397199E+00      0.10065148E-01
 173.0    0.31008100E-02      0.35620416E+00      0.10061131E-01
 174.0    0.30207378E-02      0.39521662E+00      0.98207690E-02
 175.0    0.28898747E-02      0.41420913E+00      0.94110844E-02
 176.0    0.27332089E-02      0.40491670E+00      0.89131068E-02
 177.0    0.25768638E-02      0.35916249E+00      0.84122259E-02
 178.0    0.24450927E-02      0.27225691E+00      0.79881384E-02
 179.0    0.23575064E-02      0.14766658E+00      0.77055135E-02
 180.0    0.23268403E-02      0.00000000E+00      0.76064396E-02
