#total Xsec.: 2717.0(mb)
#total elastic Xsec.: 1543.1(mb)
#total reaction Xsec.: 1173.9(mb)

#th(deg)  diff. Xsec.(mb/sr)  analyzing power     Rutherford ratio
 112.0    0.43514384E-01     -0.40200929E+00      0.67270168E-01
 113.0    0.41755289E-01     -0.65498070E+00      0.66074012E-01
 114.0    0.40389885E-01     -0.83931273E+00      0.65392967E-01
 115.0    0.39246186E-01     -0.94480902E+00      0.64984090E-01
 116.0    0.38142100E-01     -0.97324239E+00      0.64562354E-01
 117.0    0.36910175E-01     -0.93427201E+00      0.63841351E-01
 118.0    0.35417868E-01     -0.84083891E+00      0.62571651E-01
 119.0    0.33581420E-01     -0.70573140E+00      0.60572211E-01
 120.0    0.31372448E-01     -0.53977215E+00      0.57751565E-01
 121.0    0.28817391E-01     -0.35133911E+00      0.54117109E-01
 122.0    0.25990710E-01     -0.14677508E+00      0.49772333E-01
 123.0    0.23003365E-01      0.68597914E-01      0.44903296E-01
 124.0    0.19988375E-01      0.28889147E+00      0.39756672E-01
 125.0    0.17085344E-01      0.50531344E+00      0.34612443E-01
 126.0    0.14425708E-01      0.70290688E+00      0.29754558E-01
 127.0    0.12120126E-01      0.85685771E+00      0.25442787E-01
 128.0    0.10249049E-01      0.93101477E+00      0.21888558E-01
 129.0    0.88570560E-02      0.88485705E+00      0.19236905E-01
 130.0    0.79510804E-02      0.69491556E+00      0.17555848E-01
 131.0    0.75022928E-02      0.38176894E+00      0.16833657E-01
 132.0    0.74510643E-02      0.12700922E-01      0.16983679E-01
 133.0    0.77142336E-02     -0.33371974E+00      0.17855695E-01
 134.0    0.81937755E-02     -0.60733587E+00      0.19252238E-01
 135.0    0.87859509E-02     -0.79580684E+00      0.20948020E-01
 136.0    0.93900780E-02     -0.91044555E+00      0.22710436E-01
 137.0    0.99161979E-02     -0.97015524E+00      0.24319218E-01
 138.0    0.10291084E-01     -0.99261987E+00      0.25583555E-01
 139.0    0.10462251E-01     -0.99150691E+00      0.26355330E-01
 140.0    0.10399833E-01     -0.97649860E+00      0.26537649E-01
 141.0    0.10096395E-01     -0.95416935E+00      0.26088275E-01
 142.0    0.95649306E-02     -0.92889053E+00      0.25018133E-01
 143.0    0.88354131E-02     -0.90352934E+00      0.23385465E-01
 144.0    0.79503788E-02     -0.87992509E+00      0.21286583E-01
 145.0    0.69600372E-02     -0.85918176E+00      0.18844403E-01
 146.0    0.59174020E-02     -0.84181235E+00      0.16196052E-01
 147.0    0.48738694E-02     -0.82774589E+00      0.13480766E-01
 148.0    0.38755809E-02     -0.81616605E+00      0.10829195E-01
 149.0    0.29607856E-02     -0.80506782E+00      0.83549113E-02
 150.0    0.21582926E-02     -0.79022402E+00      0.61486284E-02
 151.0    0.14869819E-02     -0.76273557E+00      0.42752830E-02
 152.0    0.95623688E-03     -0.70289867E+00      0.27737977E-02
 153.0    0.56708402E-03     -0.56469633E+00      0.16590761E-02
 154.0    0.31378278E-03     -0.24811008E+00      0.92558786E-03
 155.0    0.18559812E-03      0.30799076E+00      0.55181366E-03
 156.0    0.16851449E-03      0.52875291E+00      0.50483290E-03
 157.0    0.24670165E-03      0.10174581E+00      0.74445030E-03
 158.0    0.40361398E-03     -0.30771238E+00      0.12264372E-02
 159.0    0.62268261E-03     -0.55284519E+00      0.19046889E-02
 160.0    0.88763425E-03     -0.69473217E+00      0.27323272E-02
 161.0    0.11825301E-02     -0.77785969E+00      0.36619786E-02
 162.0    0.14916574E-02     -0.82462611E+00      0.46455980E-02
 163.0    0.17994184E-02     -0.84644624E+00      0.56342746E-02
 164.0    0.20903487E-02     -0.84970040E+00      0.65784361E-02
 165.0    0.23493617E-02     -0.83841311E+00      0.74287711E-02
 166.0    0.25622630E-02     -0.81544644E+00      0.81380315E-02
 167.0    0.27165180E-02     -0.78303423E+00      0.86636826E-02
 168.0    0.28021992E-02     -0.74301983E+00      0.89711726E-02
 169.0    0.28129884E-02     -0.69696097E+00      0.90374243E-02
 170.0    0.27470829E-02     -0.64617705E+00      0.88540401E-02
 171.0    0.26078453E-02     -0.59177308E+00      0.84296829E-02
 172.0    0.24040600E-02     -0.53465305E+00      0.77911448E-02
 173.0    0.21496970E-02     -0.47552375E+00      0.69827559E-02
 174.0    0.18631469E-02     -0.41487982E+00      0.60639770E-02
 175.0    0.15659541E-02     -0.35294897E+00      0.51052574E-02
 176.0    0.12811459E-02     -0.28956233E+00      0.41824700E-02
 177.0    0.10313103E-02     -0.22392990E+00      0.33704415E-02
 178.0    0.83661558E-03     -0.15448787E+00      0.27362399E-02
 179.0    0.71298087E-03     -0.79594588E-01      0.23329453E-02
 180.0    0.67059975E-03      0.00000000E+00      0.21946042E-02
