#total Xsec.: 2717.0(mb)
#total elastic Xsec.: 1543.1(mb)
#total reaction Xsec.: 1173.9(mb)

#th(deg)  diff. Xsec.(mb/sr)  analyzing power     Rutherford ratio
   0.0    0.30556751E+56      0.00000000E+00      0.10000000E+01
   1.0    0.52898633E+08     -0.10936353E-02      0.10039329E+01
   2.0    0.29606997E+07     -0.58581682E-02      0.89889396E+00
   3.0    0.46983457E+06     -0.37900452E-02      0.72196119E+00
   4.0    0.11620643E+06      0.32803576E-01      0.56415656E+00
   5.0    0.41480020E+05      0.13200772E+00      0.49141683E+00
   6.0    0.21770426E+05      0.25214586E+00      0.53451561E+00
   7.0    0.15185433E+05      0.31712922E+00      0.69027335E+00
   8.0    0.11968455E+05      0.32584931E+00      0.92740407E+00
   9.0    0.96412112E+04      0.30697778E+00      0.11956322E+01
  10.0    0.76099125E+04      0.27639252E+00      0.14369992E+01
  11.0    0.57856376E+04      0.23885999E+00      0.15978483E+01
  12.0    0.41968296E+04      0.19393180E+00      0.16396548E+01
  13.0    0.28782690E+04      0.13818501E+00      0.15468893E+01
  14.0    0.18431007E+04      0.64954446E-01      0.13305150E+01
  15.0    0.10805742E+04     -0.38242136E-01      0.10264507E+01
  16.0    0.56137887E+03     -0.19658604E+00      0.68923940E+00
  17.0    0.24458498E+03     -0.46311362E+00      0.38205945E+00
  18.0    0.84150601E+02     -0.88586115E+00      0.16492246E+00
  19.0    0.34289056E+02     -0.45309766E+00      0.83269367E-01
  20.0    0.53477561E+02      0.87335475E+00      0.15912753E+00
  21.0    0.10709177E+03      0.93376199E+00      0.38652811E+00
  22.0    0.16876224E+03      0.81213000E+00      0.73208835E+00
  23.0    0.22062415E+03      0.70268590E+00      0.11406886E+01
  24.0    0.25268399E+03      0.61216217E+00      0.15452053E+01
  25.0    0.26155838E+03      0.53285161E+00      0.18784882E+01
  26.0    0.24884710E+03      0.45782594E+00      0.20853432E+01
  27.0    0.21938770E+03      0.38121862E+00      0.21322892E+01
  28.0    0.17960269E+03      0.29708275E+00      0.20132902E+01
  29.0    0.13609968E+03      0.19791913E+00      0.17504451E+01
  30.0    0.94625208E+02      0.72443274E-01      0.13895833E+01
  31.0    0.59412964E+02     -0.98271966E-01      0.99167493E+00
  32.0    0.32912469E+02     -0.34558521E+00      0.62173539E+00
  33.0    0.15841500E+02     -0.69156057E+00      0.33733106E+00
  34.0    0.74773654E+01     -0.85259628E+00      0.17880629E+00
  35.0    0.60900207E+01      0.62007784E-01      0.16295917E+00
  36.0    0.94225729E+01      0.79151555E+00      0.28118476E+00
  37.0    0.15139240E+02      0.88596403E+00      0.50223002E+00
  38.0    0.21183057E+02      0.81745835E+00      0.77884157E+00
  39.0    0.26011213E+02      0.72269553E+00      0.10569013E+01
  40.0    0.28700641E+02      0.62645551E+00      0.12852605E+01
  41.0    0.28937078E+02      0.53034273E+00      0.14244548E+01
  42.0    0.26915157E+02      0.43070662E+00      0.14528019E+01
  43.0    0.23184334E+02      0.32187265E+00      0.13689550E+01
  44.0    0.18476031E+02      0.19593805E+00      0.11907022E+01
  45.0    0.13542496E+02      0.41149261E-01      0.95049573E+00
  46.0    0.90294462E+01     -0.16086503E+00      0.68875693E+00
  47.0    0.53945831E+01     -0.43639478E+00      0.44632317E+00
  48.0    0.28743533E+01     -0.79218911E+00      0.25744601E+00
  49.0    0.14933556E+01     -0.98957060E+00      0.14453196E+00
  50.0    0.11053896E+01     -0.24809277E+00      0.11539879E+00
  51.0    0.14526286E+01      0.70044326E+00      0.16329948E+00
  52.0    0.22295380E+01      0.95678908E+00      0.26944836E+00
  53.0    0.31403695E+01      0.92112535E+00      0.40736463E+00
  54.0    0.39425428E+01      0.81470363E+00      0.54809557E+00
  55.0    0.44721614E+01      0.69276705E+00      0.66532324E+00
  56.0    0.46515680E+01      0.56543358E+00      0.73948498E+00
  57.0    0.44817104E+01      0.43114628E+00      0.76030566E+00
  58.0    0.40238841E+01      0.28464633E+00      0.72748358E+00
  59.0    0.33760822E+01      0.11877842E+00      0.64962260E+00
  60.0    0.26488781E+01     -0.74807598E-01      0.54179477E+00
  61.0    0.19447391E+01     -0.30309689E+00      0.42230834E+00
  62.0    0.13432607E+01     -0.56061748E+00      0.30932176E+00
  63.0    0.89331953E+00     -0.79208752E+00      0.21789138E+00
  64.0    0.61182970E+00     -0.81787237E+00      0.15789276E+00
  65.0    0.48782016E+00     -0.40026603E+00      0.13305116E+00
  66.0    0.49000214E+00      0.28632837E+00      0.14109962E+00
  67.0    0.57586119E+00      0.77435257E+00      0.17489147E+00
  68.0    0.70051252E+00      0.96542051E+00      0.22415856E+00
  69.0    0.82399274E+00      0.97736942E+00      0.27754175E+00
  70.0    0.91620441E+00      0.90243603E+00      0.32452668E+00
  71.0    0.95927133E+00      0.78363765E+00      0.35698538E+00
  72.0    0.94751837E+00      0.63719774E+00      0.37013078E+00
  73.0    0.88560741E+00      0.46705810E+00      0.36281435E+00
  74.0    0.78552423E+00      0.27163622E+00      0.33721315E+00
  75.0    0.66312964E+00      0.47477818E-01      0.29804358E+00
  76.0    0.53489308E+00     -0.20680061E+00      0.25149405E+00
  77.0    0.41525919E+00     -0.48266399E+00      0.20408465E+00
  78.0    0.31490018E+00     -0.74529432E+00      0.16164153E+00
  79.0    0.23991614E+00     -0.90991883E+00      0.12852700E+00
  80.0    0.19188945E+00     -0.84586381E+00      0.10720472E+00
  81.0    0.16859331E+00     -0.48278896E+00      0.98154638E-01
  82.0    0.16510260E+00      0.52866763E-01      0.10009639E+00
  83.0    0.17505347E+00      0.53459429E+00      0.11043884E+00
  84.0    0.19183360E+00      0.84274180E+00      0.12585228E+00
  85.0    0.20954558E+00      0.98065955E+00      0.14285805E+00
  86.0    0.22365480E+00      0.99227387E+00      0.15834500E+00
  87.0    0.23129985E+00      0.91610316E+00      0.16994836E+00
  88.0    0.23129731E+00      0.77658011E+00      0.17625786E+00
  89.0    0.22390976E+00      0.58761319E+00      0.17685325E+00
  90.0    0.21046407E+00      0.35775130E+00      0.17219114E+00
  91.0    0.19290850E+00      0.94891035E-01      0.16338508E+00
  92.0    0.17338550E+00     -0.18925955E+00      0.15192945E+00
  93.0    0.15387708E+00     -0.47492202E+00      0.13941695E+00
  94.0    0.13595624E+00     -0.73143726E+00      0.12729221E+00
  95.0    0.12065523E+00     -0.91884696E+00      0.11667089E+00
  96.0    0.10844222E+00     -0.99699349E+00      0.10823932E+00
  97.0    0.99284713E-01     -0.94103786E+00      0.10223504E+00
  98.0    0.92770471E-01     -0.75476159E+00      0.98496781E-01
  99.0    0.88255558E-01     -0.47105997E+00      0.96564378E-01
 100.0    0.85011953E-01     -0.13865545E+00      0.95805112E-01
 101.0    0.82353665E-01      0.19474046E+00      0.95543243E-01
 102.0    0.79728054E-01      0.49268241E+00      0.95173132E-01
 103.0    0.76766974E-01      0.73169113E+00      0.94242050E-01
 104.0    0.73299254E-01      0.89812163E+00      0.92495574E-01
 105.0    0.69331113E-01      0.98426157E+00      0.89885080E-01
 106.0    0.65004197E-01      0.98585505E+00      0.86542351E-01
 107.0    0.60541931E-01      0.90171344E+00      0.82730182E-01
 108.0    0.56194264E-01      0.73525245E+00      0.78779893E-01
 109.0    0.52189010E-01      0.49716754E+00      0.75026729E-01
 110.0    0.48695405E-01      0.20769898E+00      0.71752804E-01
 111.0    0.45802744E-01     -0.10359641E+00      0.69144745E-01
